Ticker,Date,Open,High,Low,Close,Adj Close,Volume
DOCU,11/15/2022,53.740002,54.325001,51.661999,53.32,53.32,5118000
DOCU,11/16/2022,52.02,52.183998,49.130001,49.549999,49.549999,3715600
DOCU,11/17/2022,47.939999,48.27,46.816002,47.439999,47.439999,3085600
DOCU,11/18/2022,48.549999,48.549999,45.560001,46,46,2745900
DOCU,11/21/2022,45.389999,45.41,43.049999,44.18,44.18,3438100
DOCU,11/22/2022,43.799999,43.970001,42.299999,43.860001,43.860001,3666300
DOCU,11/23/2022,43.810001,46.685001,43.209999,46.349998,46.349998,3408500
DOCU,11/25/2022,46.049999,46.060001,44.950001,46.029999,46.029999,1558100
DOCU,11/28/2022,45.599998,47.889999,45.599998,45.790001,45.790001,4017600
DOCU,11/29/2022,46,46.630001,44.23,44.560001,44.560001,2973900
DOCU,11/30/2022,44.459999,47.544998,43.950001,47.07,47.07,4442700
DOCU,12/1/2022,46.669998,49.599998,46.669998,48.290001,48.290001,3756300
DOCU,12/2/2022,46.119999,47.119999,45.32,46.599998,46.599998,2984300
DOCU,12/5/2022,45.75,46.153999,42.299999,42.439999,42.439999,5552800
DOCU,12/6/2022,42.41,42.630001,40.759998,41.830002,41.830002,4696100
DOCU,12/7/2022,41.98,42.740002,41.27,42.080002,42.080002,3494000
DOCU,12/8/2022,42.380001,44.400002,41.380001,43.75,43.75,11822800
DOCU,12/9/2022,47.529999,51.310001,46.880001,49.16,49.16,30213500
DOCU,12/12/2022,49.959999,54.16,49.700001,54.07,54.07,16590600
DOCU,12/13/2022,57.5,58.880001,55.91,58.029999,58.029999,15410900
DOCU,12/14/2022,57.950001,61.599998,57.84,59.549999,59.549999,12958700
DOCU,12/15/2022,58.5,59.369999,55.400002,56.310001,56.310001,9560000
DOCU,12/16/2022,55.490002,56.790001,54.41,56.27,56.27,16893500
DOCU,12/19/2022,56.009998,56.450001,53.349998,54.220001,54.220001,8237700
DOCU,12/20/2022,53.48,54.779999,52.07,54.099998,54.099998,6735400
DOCU,12/21/2022,53.860001,56.919998,53.5,56.580002,56.580002,5342900
DOCU,12/22/2022,54.970001,56.220001,52.950001,54.240002,54.240002,4445600
DOCU,12/23/2022,53.529999,53.919998,51.91,53.900002,53.900002,3278300
DOCU,12/27/2022,53.139999,53.465,51.48,52.419998,52.419998,3748700
DOCU,12/28/2022,52.139999,53.5,51.73,52.77,52.77,3360900
DOCU,12/29/2022,53.700001,55.869999,53.5,55.75,55.75,4467400
DOCU,12/30/2022,54.012001,55.75,54,55.419998,55.419998,3501000
DOCU,1/3/2023,56.435001,57.900002,55.630001,56.75,56.75,5576000
DOCU,1/4/2023,57.91,59.09,56.09,56.27,56.27,4059700
